outcome,variable,type,rr,l_rr,u_rr
hbp,0ICEinc,Unadjusted,1.08,0.98,1.19
hbp,0ICEinc,Adjusted,1.03,0.94,1.13
hbp,1ICErace,Unadjusted,1.05,0.95,1.15
hbp,1ICErace,Adjusted,0.98,0.89,1.08
hbp,2ICEinc+wb,Unadjusted,1.11,1.02,1.22
hbp,2ICEinc+wb,Adjusted,1.05,0.96,1.15
hbp,3ICEinc+wnh,Unadjusted,1.15,1.05,1.25
hbp,3ICEinc+wnh,Adjusted,1.1,1.01,1.19
hbp,4ICEhome,Unadjusted,0.98,0.88,1.1
hbp,4ICEhome,Adjusted,0.94,0.84,1.05
sbp,0ICEinc,Unadjusted,2.31,0.92,5.82
sbp,0ICEinc,Adjusted,1.53,0.66,3.56
sbp,1ICErace,Unadjusted,2.16,0.89,5.19
sbp,1ICErace,Adjusted,1.21,0.54,2.7
sbp,2ICEinc+wb,Unadjusted,3.24,1.35,7.89
sbp,2ICEinc+wb,Adjusted,1.89,0.85,4.23
sbp,3ICEinc+wnh,Unadjusted,4.82,2.13,10.89
sbp,3ICEinc+wnh,Adjusted,3.03,1.41,6.49
sbp,4ICEhome,Unadjusted,1.01,0.35,2.88
sbp,4ICEhome,Adjusted,0.72,0.27,1.92
dbp,0ICEinc,Unadjusted,0.72,0.34,1.54
dbp,0ICEinc,Adjusted,0.68,0.33,1.41
dbp,1ICErace,Unadjusted,0.82,0.36,1.89
dbp,1ICErace,Adjusted,0.57,0.26,1.21
dbp,2ICEinc+wb,Unadjusted,0.99,0.16,2.14
dbp,2ICEinc+wb,Adjusted,0.74,0.37,1.47
dbp,3ICEinc+wnh,Unadjusted,1.29,0.58,2.85
dbp,3ICEinc+wnh,Adjusted,0.97,0.46,2.08
dbp,4ICEhome,Unadjusted,1.15,0.61,2.15
dbp,4ICEhome,Adjusted,0.98,0.51,1.84
